# VerbAtlas 1.0 - SapienzaNLP - LICENSE: CC BY-SA-NC 4.0 - http://verbatlas.org
bn:00082138v	va:0001f
bn:00082200v	va:0001f
bn:00082203v	va:0001f
bn:00089416v	va:0001f
bn:00093787v	va:0001f
bn:00094745v	va:0001f
bn:00095007v	va:0001f
bn:00082139v	va:0002f
bn:00088946v	va:0002f
bn:00091112v	va:0002f
bn:00094774v	va:0002f
bn:00095002v	va:0002f
bn:00082500v	va:0003f
bn:00082503v	va:0003f
bn:00082504v	va:0003f
bn:00083120v	va:0003f
bn:00083223v	va:0003f
bn:00083231v	va:0003f
bn:00084178v	va:0003f
bn:00084253v	va:0003f
bn:00084257v	va:0003f
bn:00084362v	va:0003f
bn:00084554v	va:0003f
bn:00084555v	va:0003f
bn:00084567v	va:0003f
bn:00084580v	va:0003f
bn:00084597v	va:0003f
bn:00084602v	va:0003f
bn:00084820v	va:0003f
bn:00084842v	va:0003f
bn:00086531v	va:0003f
bn:00087329v	va:0003f
bn:00088129v	va:0003f
bn:00088130v	va:0003f
bn:00088380v	va:0003f
bn:00088563v	va:0003f
bn:00088591v	va:0003f
bn:00089238v	va:0003f
bn:00089626v	va:0003f
bn:00090360v	va:0003f
bn:00090514v	va:0003f
bn:00091376v	va:0003f
bn:00091625v	va:0003f
bn:00091626v	va:0003f
bn:00091654v	va:0003f
bn:00091658v	va:0003f
bn:00091659v	va:0003f
bn:00091861v	va:0003f
bn:00091862v	va:0003f
bn:00091865v	va:0003f
bn:00092309v	va:0003f
bn:00092323v	va:0003f
bn:00092329v	va:0003f
bn:00093486v	va:0003f
bn:00093674v	va:0003f
bn:00093703v	va:0003f
bn:00093855v	va:0003f
bn:00093912v	va:0003f
bn:00093949v	va:0003f
bn:00094954v	va:0003f
bn:00095057v	va:0003f
bn:00095121v	va:0003f
bn:00095125v	va:0003f
bn:00095191v	va:0003f
bn:00095210v	va:0003f
bn:00095661v 	va:0003f
bn:00095662v 	va:0003f
bn:00095725v	va:0003f
bn:00095726v	va:0003f
bn:00095730v	va:0003f
bn:00082169v	va:0004f
bn:00082172v	va:0004f
bn:00082174v	va:0004f
bn:00082389v	va:0004f
bn:00082864v	va:0004f
bn:00084887v	va:0004f
bn:00092414v	va:0004f
bn:00094048v	va:0004f
bn:00094051v	va:0004f
bn:00094159v	va:0004f
bn:00094164v	va:0004f
bn:00094760v	va:0004f
bn:00082170v	va:0005f
bn:00082274v	va:0005f
bn:00082281v	va:0005f
bn:00082380v	va:0005f
bn:00082734v	va:0005f
bn:00084686v	va:0005f
bn:00084873v	va:0005f
bn:00084974v	va:0005f
bn:00086820v	va:0005f
bn:00088765v	va:0005f
bn:00088786v	va:0005f
bn:00089589v 	va:0005f
bn:00089864v	va:0005f
bn:00092045v	va:0005f
bn:00092420v	va:0005f
bn:00092740v	va:0005f
bn:00095520v	va:0005f
bn:00095799v	va:0005f
bn:00082175v	va:0007f
bn:00082177v	va:0007f
