# VerbAtlas 1.0 - SapienzaNLP - LICENSE: CC BY-SA-NC 4.0 - http://verbatlas.org
bn:00082124v	Stimulus	bn:00030466n
bn:00082129v	Patient	bn:00058685n
bn:00082132v	Patient	bn:00051217n
bn:00082165v	Instrument	bn:00068266n
bn:00082178v	Theme	bn:00008198n
bn:00082184v	Attribute	bn:00114487r
bn:00082186v	Topic	bn:00064605n
bn:00082210v	Topic	bn:00001276n
bn:00082230v	Theme	bn:00070772n
bn:00082237v	Theme	bn:03800685n
bn:00082240v	Attribute	bn:00005885n
bn:00082253v	Theme	bn:00000793n
bn:00082254v	Theme	bn:00000793n
bn:00082255v	Theme	bn:00000793n
bn:00082257v	Result	bn:00000918n|bn:00010769n
bn:00082258v	Result	bn:00000918n
bn:00082259v	Result	bn:00000902n
bn:00082260v	Theme	bn:00000850n
bn:00082261v	Theme	bn:00000850n
bn:00082265v	Patient	bn:00020731n
bn:00082266v	Result	bn:00098546a	Instrument	bn:00000902n
bn:00082283v	Value	bn:00099796a
bn:00082294v	Theme	bn:00017749n
bn:00082308v	Result	bn:00096513a
bn:00082310v	Result	bn:00109397a
bn:00082329v	Result	bn:00101191a
bn:00082334v	Theme	bn:00001307n
bn:00082335v	Topic	bn:00030951n
bn:00082341v	Patient	bn:00051217n
bn:00082351v	Theme	bn:00006481n|bn:00041948n
bn:00082361v	Theme	bn:00060768n
bn:00082378v	Result	bn:00001480n
bn:00082383v	Co-Theme	bn:00028614n
bn:00082386v	Theme	bn:00025765n
bn:00082421v	Co-Patient	bn:00006912n
bn:00082422v	Result	bn:00037382n
bn:00082445v	Patient	bn:00035868n
bn:00082452v	Instrument	bn:00001970n
bn:00082453v	Result	bn:00013873n
bn:00082492v	Instrument	bn:00065899n|bn:00076373n
bn:00082493v	Instrument	bn:00065899n|bn:00076373n
bn:00082498v	Theme	bn:00002212n
bn:00082499v	Source	bn:00002186n
bn:00082500v	Instrument	bn:00002275n
bn:00082501v	Result	bn:00015879n
bn:00082502v	Instrument	bn:00002272n
bn:00082503v	Instrument	bn:00002275n
bn:00082504v	Instrument	bn:00002275n
bn:00082509v	Instrument	bn:00002520n
bn:00082510v	Result	bn:00096751a
bn:00082512v	Instrument	bn:00002715n
bn:00082522v	Result	bn:00002771n
bn:00082523v	Result	bn:00002771n
bn:00082524v	Result	bn:00096793a
bn:00082528v	Attribute	bn:00002824n
bn:00082529v	Co-Theme	bn:00002824n
bn:00082546v	Instrument	bn:00054550n
bn:00082549v	Instrument	bn:00000728n|bn:00053519n
bn:00082551v	Result	bn:00003059n
bn:00082561v 	Attribute	bn:00073929n
bn:00082564v	Theme	bn:00002355n
bn:00082572v	Theme	bn:00064303n
bn:00082579v	Result	bn:00096964a
bn:00082581v	Instrument	bn:00003548n
bn:00082582v	Instrument	bn:00003548n
bn:00082593v	Instrument	bn:00003754n
bn:00082601v	Instrument	bn:00003864n
bn:00082606v	Instrument	bn:00003895n
bn:00082607v	Result	bn:00003919n
bn:00082608v	Stimulus	bn:00003919n
bn:00082609v	Theme	bn:00023634n
bn:00082615v	Instrument	bn:00034860n
bn:00082618v	Result	bn:13661540a
bn:00082621v	Result	bn:00097114a
bn:00082624v	Co-Theme	bn:00004222n
bn:00082626v	Result	bn:00098164a
bn:00082644v	Theme	bn:00059991n
bn:00082659v	Theme	bn:00025637n
bn:00082663v	Result	bn:00104384a
bn:00082672v	Result	bn:00097257a
bn:00082673v	Patient	bn:00004731n
bn:00082674v	Instrument	bn:00004741n
bn:00082677v	Topic	bn:00004883n
bn:00082685v	Theme	bn:00005019n
bn:00082686v	Theme	bn:00002155n
bn:00082695v	Location	bn:00028604n
bn:00082725v	Attribute	bn:00079508n
bn:00082730v	Attribute	bn:00005137n
bn:00082742v	Attribute	bn:00102503a
bn:00082745v	Instrument	bn:00005210n
bn:00082746v	Material	bn:00005222n
bn:00082747v	Attribute	bn:00005337n
bn:00082752v	Result	bn:00097448a
bn:00082753v	Destination	bn:00005448n
bn:00082765v	Theme	bn:00005704n
bn:00082766v	Theme	bn:00005769n
bn:00082775v	Location	bn:00023301n
bn:00082796v	Result	bn:00006054n
bn:00082798v	Instrument	bn:05893038n
bn:00082801v	Result	bn:00006137n
bn:00082816v	Result	bn:00006305n
bn:00082830v	Theme	bn:00062647n|bn:00006408n
bn:00082832v	Patient	bn:00012973n
bn:00082833v	Cause	bn:00006416n
bn:00082843v	Theme	bn:00018096n
bn:00082853v	Theme	bn:00061119n
bn:00082854v	Theme	bn:00009815n
bn:00082855v	Theme	bn:00071404n
bn:00082882v	Instrument	bn:00006605n
bn:00082887v	Instrument	bn:00000149n
bn:00082889v	Instrument	bn:00034703n|bn:00011917n
bn:00082919v	Result	bn:00064755n
bn:00082931v	Result	bn:00006911n
bn:00082932v	Result	bn:00097769a
bn:00082939v	Instrument	bn:00007333n
bn:00082943v	Instrument	bn:00007309n
bn:00082947v	Attribute	bn:00113456a
bn:00082957v	Instrument	bn:00072096n
bn:00082968v	Instrument	bn:00007517n
bn:00082970v	Result	bn:00007589n
bn:00082972v	Theme	bn:00007625n
bn:00082977v	Attribute	bn:00115907r
bn:00082979v	Theme	bn:00007630n
bn:00083006v	Result	bn:00007803n
bn:00083008v	Instrument	bn:00010248n
bn:00083011v	Theme	bn:00065874n
bn:00083015v	Instrument	bn:00007827n
bn:00083019v	Stimulus	bn:00007854n
bn:00083020v	Theme	bn:00007896n
bn:00083022v	Instrument	bn:00007011n
bn:00083030v	Destination	bn:00007922n
bn:00083038v	Stimulus	bn:00023867n|bn:00016224n
bn:00083039v	Instrument	bn:00007998n
bn:00083040v	Instrument	bn:00015267n
bn:00083041v	Instrument	bn:00059829n
bn:00083042v	Instrument	bn:00059829n
bn:00083049v	Result	bn:00008088n
bn:00083050v	Result	bn:00008092n
bn:00083053v	Result	bn:00008122n
bn:00083056v	Instrument	bn:00008158n
bn:00083057v	Instrument	bn:00044927n
bn:00083068v	Instrument	bn:00044712n	Patient	bn:00035679n
bn:00083089v	Co-Theme	bn:00008363n
bn:00083092v	Attribute	bn:00008406n
bn:00083093v	Location	bn:00008374n
bn:00083094v	Theme	bn:00006305n
bn:00083104v	Instrument	bn:00008464n
bn:00083107v	Theme	bn:00008495n
bn:00083110v	Instrument	bn:00041795n
bn:00083111v	Attribute	bn:00008534n
bn:00083112v	Theme	bn:00015426n
bn:00083115v	Theme	bn:00008567n
bn:00083118v	Result	bn:00025083n
bn:00083120v	Instrument	bn:00008576n
bn:00083124v	Theme	bn:00008594n
bn:00083125v	Patient	bn:00008594n	Source	bn:00078131n
bn:00083127v	Instrument	bn:00076066n
bn:00083128v	Attribute	bn:00060536n|bn:00008631n
bn:00083129v	Location	bn:00023235n
bn:00083132v	Instrument	bn:00014793n|bn:00018031n
bn:00083135v	Patient	bn:01300787n
bn:00083136v	Destination	bn:00008691n
bn:00083137v	Instrument	bn:00008710n
bn:00083138v	Instrument	bn:00008710n
bn:00083143v	Theme	bn:00023466n
bn:00083149v	Attribute	bn:00104565a
bn:00083153v	Patient	bn:00072704n
bn:00083154v	Instrument	bn:00008806n
bn:00083157v	Patient	bn:00008980n
bn:00083160v	Result	bn:00008986n
bn:00083161v	Attribute	bn:00035767n
bn:00083165v	Patient	bn:00011744n
bn:00083166v	Patient	bn:00011744n
bn:00083168v	Instrument	bn:00080707n
bn:00083169v	Theme	bn:14867475n
bn:00083170v	Instrument	bn:00009057n
bn:00083172v	Result	bn:00026264n
bn:00083180v	Instrument	bn:00009248n
bn:00083189v	Co-Theme	bn:00017746n
bn:00083192v	Attribute	bn:00112889a|bn:00112637a|bn:00112983a
bn:00083203v	Instrument	bn:00065899n|bn:00076373n
bn:00083207v	Attribute	bn:00113773a
bn:00083208v	Location	bn:00009263n
bn:00083210v	Instrument	bn:00009287n
bn:00083211v	Result	bn:00009291n
bn:00083212v	Theme	bn:00009290n
bn:00083218v	Result	bn:00062507n|bn:00098581a
bn:00083275v	Instrument	bn:00028736n
bn:00083283v	Theme	bn:00009460n
bn:00083289v	Instrument	bn:00057846n|bn:00042759n
bn:00083291v	Instrument	bn:00040336n
bn:00083298v	Theme	bn:00009472n
bn:00083299v	Destination	bn:00027386n
bn:00083308v	Attribute	bn:00114894r
bn:00083312v	Attribute	bn:00112446a
bn:00083319v	Instrument	bn:00009588n
bn:00083320v	Theme	bn:00009600n
bn:00083323v	Instrument	bn:00009611n
bn:00083351v	Attribute	bn:00031073n
bn:00083358v	Theme	bn:00037609n
bn:00083362v	Instrument	bn:00068266n
bn:00083363v	Destination	bn:00019675n|bn:00010765n|bn:00058407n
bn:00083364v	Theme	bn:00035120n
bn:00083367v	Attribute	bn:00102746a
bn:00083378v	Patient	bn:00009727n
bn:00083382v	Destination	bn:00042379n
bn:00083384v	Theme	bn:00009801n
bn:00083394v	Instrument	bn:00009823n
bn:00083400v	Source	bn:00037181n
bn:00083404v	Result	bn:00009870n
bn:00083409v	Material	bn:01574252n
bn:00083422v	Theme	bn:00010066n
bn:00083423v	Theme	bn:00010075n
bn:00083428v	Theme	bn:00037606n
bn:00083433v	Theme	bn:00026844n
bn:00083438v	Result	bn:00025211n
bn:00083439v	Instrument	bn:00025211n
bn:00083462v	Result	bn:00010180n
bn:00083471v	Instrument	bn:00010248n
bn:00083477v	Instrument	bn:00019718n
bn:00083480v	Instrument	bn:00010341n
bn:00083484v	Theme	bn:00025954n
